timestamp,road_id,hour,day_of_week,is_weekend,is_rush_hour,road_type,road_lanes,road_importance,volume,speed,congestion,precipitation,incident
2025-04-17 00:00:00,1,0,3,0,0,arterial,3,3,28,44.47706879258596,0.0998759518039392,2.6246821034079204,0
2025-04-17 00:00:00,2,0,3,0,0,arterial,3,3,29,48.22951097201763,0.0834532826719469,0.0,0
2025-04-17 00:00:00,3,0,3,0,0,arterial,3,3,29,54.173528349631844,0.11387066995780691,0.0,0
2025-04-17 00:00:00,4,0,3,0,0,residential,1,3,24,20.43626824288645,0.48811008115352045,0.0,0
2025-04-17 00:00:00,5,0,3,0,0,residential,2,2,10,28.40953976433883,0.1107719153762386,0.0,0
2025-04-17 00:00:00,6,0,3,0,0,residential,2,3,17,24.39783935851518,0.13609724169564438,0.0,0
2025-04-17 00:00:00,7,0,3,0,0,residential,2,1,19,29.54493607355008,0.1804977924618805,0.0,0
2025-04-17 00:00:00,8,0,3,0,0,arterial,3,4,56,50.677294850104154,0.1616779115074629,0.0,0
2025-04-17 00:00:00,9,0,3,0,0,residential,2,3,21,24.209863522711075,0.2233404766947478,0.0,0
2025-04-17 00:00:00,10,0,3,0,0,highway,4,3,77,63.68575662094624,0.10101710893029427,0.0,0
2025-04-17 00:00:00,11,0,3,0,0,residential,1,1,19,24.907092482098168,0.3895664536163851,0.0,0
2025-04-17 00:00:00,12,0,3,0,0,residential,1,3,23,19.951596500647582,0.5176558202858683,0.0,0
2025-04-17 00:00:00,13,0,3,0,0,residential,1,2,13,27.962882518653753,0.21919059151438264,0.0,0
2025-04-17 00:00:00,14,0,3,0,0,residential,2,1,17,23.98060568947912,0.2192204474204643,1.7741666523054382,0
2025-04-17 00:00:00,15,0,3,0,0,highway,4,3,97,55.1501626597473,0.12661712198994302,0.0,0
2025-04-17 00:00:00,16,0,3,0,0,residential,1,1,14,21.398058568986492,0.3162027062403428,0.0,0
2025-04-17 00:00:00,17,0,3,0,0,arterial,2,4,43,40.02651954951966,0.23574145868787624,0.0,0
2025-04-17 00:00:00,18,0,3,0,0,residential,1,1,15,26.24409252104042,0.324590025082019,0.0,0
2025-04-17 00:00:00,19,0,3,0,0,arterial,3,3,28,37.338349453868,0.08647587763643062,0.018390712565496008,0
2025-04-17 00:00:00,20,0,3,0,0,highway,3,3,68,75.79292844607568,0.13619193057721213,0.0,0
2025-04-17 01:00:00,1,1,3,0,0,arterial,3,3,12,27.326138464347974,0.057878120150869836,0.0,1
2025-04-17 01:00:00,2,1,3,0,0,arterial,3,3,21,36.26003399354883,0.06761842515642294,0.0,0
2025-04-17 01:00:00,3,1,3,0,0,arterial,3,3,29,52.35083786784614,0.10353703722964461,0.0,0
2025-04-17 01:00:00,4,1,3,0,0,residential,1,3,12,27.714639738222182,0.22786282137286645,0.0,0
2025-04-17 01:00:00,5,1,3,0,0,residential,2,2,10,33.0,0.0998860064711585,0.0,0
2025-04-17 01:00:00,6,1,3,0,0,residential,2,3,11,27.524220205693833,0.1242542203965347,0.0,0
2025-04-17 01:00:00,7,1,3,0,0,residential,2,1,10,26.595428845142237,0.09573430539014961,0.0,0
2025-04-17 01:00:00,8,1,3,0,0,arterial,3,4,29,39.068795749043076,0.10123298848827254,0.0,0
2025-04-17 01:00:00,9,1,3,0,0,residential,2,3,12,26.832183385321677,0.1292554315422069,0.0,0
2025-04-17 01:00:00,10,1,3,0,0,highway,4,3,50,75.12871687360587,0.05287495028552169,1.8331772030859457,0
2025-04-17 01:00:00,11,1,3,0,0,residential,1,1,15,24.56003817046069,0.32938558851918637,0.0,0
2025-04-17 01:00:00,12,1,3,0,0,residential,1,3,15,22.96027332975344,0.27921394630963686,0.0,0
2025-04-17 01:00:00,13,1,3,0,0,residential,1,2,10,27.368569516032554,0.2125008477268549,0.0,0
2025-04-17 01:00:00,14,1,3,0,0,residential,2,1,11,27.200376063746212,0.10036786267365334,0.10431079446823818,0
2025-04-17 01:00:00,15,1,3,0,0,highway,4,3,44,72.11492314403176,0.06011864043330738,0.0,0
2025-04-17 01:00:00,16,1,3,0,0,residential,1,1,12,29.417571121972856,0.22170904407320827,0.0,0
2025-04-17 01:00:00,17,1,3,0,0,arterial,2,4,32,45.200133919943106,0.15404386071565396,0.0,0
2025-04-17 01:00:00,18,1,3,0,0,residential,1,1,14,22.556992793539322,0.29094402040383044,0.0,0
2025-04-17 01:00:00,19,1,3,0,0,arterial,3,3,20,52.66117185303936,0.06923162992127689,0.6371106270151725,0
2025-04-17 01:00:00,20,1,3,0,0,highway,3,3,40,77.0,0.07208889788310391,0.0,0
2025-04-17 02:00:00,1,2,3,0,0,arterial,3,3,10,53.18261127223255,0.030593112301091425,0.0,0
2025-04-17 02:00:00,2,2,3,0,0,arterial,3,3,13,55.00000000000001,0.035240196999751,0.0,0
2025-04-17 02:00:00,3,2,3,0,0,arterial,3,3,10,51.50433473303765,0.03746017357593598,0.0,0
2025-04-17 02:00:00,4,2,3,0,0,residential,1,3,10,25.36503502002486,0.1989157084226342,0.0,0
2025-04-17 02:00:00,5,2,3,0,0,residential,2,2,10,27.421425084994702,0.10639930399312768,0.0,0
2025-04-17 02:00:00,6,2,3,0,0,residential,2,3,10,27.767455944768603,0.08821195523833053,0.0,0
2025-04-17 02:00:00,7,2,3,0,0,residential,2,1,10,27.286144313043927,0.09851317946995378,0.0,0
2025-04-17 02:00:00,8,2,3,0,0,arterial,3,4,15,46.230944250285475,0.05629028630444941,0.0,0
2025-04-17 02:00:00,9,2,3,0,0,residential,2,3,10,25.74040116445355,0.10252749351130433,0.0,0
2025-04-17 02:00:00,10,2,3,0,0,highway,4,3,22,58.68024988540895,0.025944476154006038,0.0,0
2025-04-17 02:00:00,11,2,3,0,0,residential,1,1,10,25.863741031969106,0.20310284660998043,0.0,0
2025-04-17 02:00:00,12,2,3,0,0,residential,1,3,10,25.70207633040063,0.22500744781658508,0.0,0
2025-04-17 02:00:00,13,2,3,0,0,residential,1,2,10,25.56912820621027,0.2030187600495068,0.0,0
2025-04-17 02:00:00,14,2,3,0,0,residential,2,1,10,33.0,0.10914476850635278,0.0,0
2025-04-17 02:00:00,15,2,3,0,0,highway,4,3,24,64.84800694562365,0.03719484105335073,0.0,0
2025-04-17 02:00:00,16,2,3,0,0,residential,1,1,10,24.692869480846518,0.20493137268486167,0.0,0
2025-04-17 02:00:00,17,2,3,0,0,arterial,2,4,14,44.12045747333896,0.0729865120716507,0.0,0
2025-04-17 02:00:00,18,2,3,0,0,residential,1,1,10,25.228884186951216,0.2028818181242671,0.0,0
2025-04-17 02:00:00,19,2,3,0,0,arterial,3,3,12,52.105187234301965,0.04606247258018896,0.0,0
